Date,High,Low,Open,Close,Volume,Adj Close
2000-01-03,37.0,36.125,36.375,36.375,119400.0,20.74151039123535
2000-01-04,37.375,35.6875,35.6875,35.6875,218000.0,20.3494873046875
2000-01-05,37.75,35.5,35.84375,35.84375,129600.0,20.438583374023438
2000-01-06,37.25,35.625,36.625,36.625,519000.0,20.884061813354492
2000-01-07,38.25,36.5,37.1875,37.1875,80600.0,21.20479965209961
2000-01-10,39.0,36.375,37.25,37.25,233200.0,21.240440368652344
2000-01-11,38.0,36.0,36.5,36.5,123600.0,20.812782287597656
2000-01-12,37.1875,36.0,36.3125,36.3125,69000.0,20.70587158203125
2000-01-13,38.625,36.125,36.75,36.75,94400.0,20.955337524414062
2000-01-14,39.0,36.4375,36.625,36.625,172000.0,20.884061813354492
2000-01-18,38.375,35.75,36.5,36.5,164000.0,20.812782287597656
2000-01-19,38.75,35.5,35.6875,35.6875,133000.0,20.3494873046875
2000-01-20,39.375,34.875,35.875,35.875,217400.0,20.45639991760254
2000-01-21,45.375,34.625,35.25,35.25,106400.0,20.10001564025879
2000-01-24,35.375,33.75,33.75,33.75,114200.0,19.244701385498047
2000-01-25,35.1953010559082,30.1875,33.625,33.625,85400.0,19.173423767089844
2000-01-26,35.125,32.4375,33.0,33.0,103800.0,18.817039489746094
2000-01-27,34.8125,32.4375,32.8125,32.8125,91400.0,18.710121154785156
2000-01-28,35.25,31.375,31.8125,31.8125,93000.0,18.139909744262695
2000-01-31,32.6875,30.5,30.9375,30.9375,164600.0,17.640972137451172
2000-02-01,32.25,30.625,31.9375,31.9375,147400.0,18.211183547973633
2000-02-02,32.5,31.375,31.8125,31.8125,89400.0,18.139909744262695
2000-02-03,32.875,27.6875,32.5,32.5,123400.0,18.53193473815918
2000-02-04,32.25,31.0,31.875,31.875,68200.0,18.175546646118164
2000-02-07,40.625,31.25,32.0625,32.0625,202200.0,18.28245735168457
2000-02-08,33.0,31.5,32.25,32.25,98800.0,18.38937759399414
2000-02-09,40.125,31.5,32.0,32.0,245600.0,18.246826171875
2000-02-10,40.5,31.25,31.4375,31.4375,326600.0,17.92607879638672
2000-02-11,31.9375,30.6875,31.75,31.75,252800.0,18.104270935058594
2000-02-14,39.125,30.75,31.0,31.0,127000.0,17.676607131958008
2000-02-15,31.25,30.1875,30.75,30.75,66600.0,17.5340576171875
2000-02-16,31.8125,30.5,31.6875,31.6875,158400.0,18.068634033203125
2000-02-17,34.625,32.5,33.1875,33.1875,931200.0,18.923952102661133
2000-02-18,33.25,32.5,33.125,33.125,251000.0,18.88831329345703
2000-02-22,37.0,31.625,33.25,33.25,99000.0,18.959590911865234
2000-02-23,34.625,33.3125,33.5,33.5,79200.0,19.10214614868164
2000-02-24,33.625,32.75,33.0,33.0,114200.0,18.817039489746094
2000-02-25,33.125,31.9375,32.0,32.0,124600.0,18.246826171875
2000-02-28,32.625,31.375,31.9375,31.9375,143400.0,18.211183547973633
2000-02-29,42.0,31.625,32.125,32.125,275600.0,18.31810188293457
2000-03-01,32.5,31.5,32.1875,32.1875,77600.0,18.35373878479004
2000-03-02,32.5,31.5,32.0,32.0,220800.0,18.246826171875
2000-03-03,32.0,31.1875,31.5,31.5,110400.0,17.961715698242188
2000-03-06,31.875,31.0,31.5,31.5,109600.0,17.961715698242188
2000-03-07,41.75,30.0,30.0,30.0,95600.0,17.106399536132812
2000-03-08,31.25,27.5,30.5,30.5,110200.0,17.391502380371094
2000-03-09,31.1875,30.0,30.25,30.25,97000.0,17.248950958251953
2000-03-10,31.4375,30.0,30.5,30.5,79200.0,17.391502380371094
2000-03-13,31.0,29.3125,29.9375,29.9375,120000.0,17.07076072692871
2000-03-14,30.75,29.625,30.25,30.25,73000.0,17.248950958251953
2000-03-15,31.3125,30.1875,31.0625,31.0625,140400.0,17.712249755859375
2000-03-16,32.5,31.0,31.6875,31.6875,150400.0,18.068634033203125
2000-03-17,32.5625,31.375,31.875,31.875,144200.0,18.175546646118164
2000-03-20,32.25,31.5,31.9375,31.9375,228000.0,18.211183547973633
2000-03-21,33.1875,31.5,32.6875,32.6875,175600.0,18.638843536376953
2000-03-22,33.4375,32.1875,32.25,32.25,143000.0,18.38937759399414
2000-03-23,33.25,32.25,32.5,32.5,100800.0,18.53193473815918
2000-03-24,33.75,32.5,33.375,33.375,131600.0,19.030866622924805
2000-03-27,33.25,32.4375,33.0,33.0,137600.0,18.817039489746094
2000-03-28,33.5,32.625,32.9375,32.9375,102800.0,18.781400680541992
2000-03-29,33.75,32.25,32.8125,32.8125,78400.0,18.710121154785156
2000-03-30,33.625,32.5,33.0,33.0,65800.0,18.817039489746094
2000-03-31,34.5625,32.9375,34.1875,34.1875,115600.0,19.49416732788086
2000-04-03,35.25,33.875,34.625,34.625,38000.0,19.743635177612305
2000-04-04,36.1875,34.5,36.125,36.125,53600.0,20.598957061767578
2000-04-05,36.25,35.0,35.75,35.75,92800.0,20.385122299194336
2000-04-06,36.25,35.0,35.5625,35.5625,77600.0,20.27821159362793
2000-04-07,36.0,34.875,35.6875,35.6875,53800.0,20.3494873046875
2000-04-10,36.125,35.0,35.1875,35.1875,127400.0,20.064380645751953
2000-04-11,36.8125,35.75,36.0,36.0,112400.0,20.527677536010742
2000-04-12,37.4375,35.5625,36.875,36.875,115400.0,21.50596046447754
2000-04-13,37.4375,36.0,36.5,36.5,86000.0,21.28725242614746
2000-04-14,37.25,35.875,36.375,36.375,247800.0,21.214353561401367
2000-04-17,36.375,35.125,35.75,35.75,59600.0,20.849843978881836
2000-04-18,36.0,34.875,35.4375,35.4375,60400.0,20.66758918762207
2000-04-19,35.875,34.625,35.0,35.0,82800.0,20.412429809570312
2000-04-20,35.875,34.75,35.0,35.0,48400.0,20.412429809570312
2000-04-24,35.375,34.5,34.75,34.75,54600.0,20.266632080078125
2000-04-25,36.1875,34.5,34.9375,34.9375,70400.0,20.37598419189453
2000-04-26,36.0,34.75,35.1875,35.1875,52000.0,20.52178955078125
2000-04-27,35.03125,34.125,34.75,34.75,71600.0,20.266632080078125
2000-04-28,35.1875,34.5,35.0625,35.0625,57200.0,20.44888687133789
2000-05-01,35.9375,34.5,35.125,35.125,296000.0,20.48533821105957
2000-05-02,36.4375,35.0,35.875,35.875,177600.0,20.92275047302246
2000-05-03,35.625,35.0,35.5,35.5,194800.0,20.704042434692383
2000-05-04,35.5,34.25,34.9375,34.9375,112200.0,20.37598419189453
2000-05-05,35.4375,34.25,34.9375,34.9375,123000.0,20.37598419189453
2000-05-08,35.4375,34.3125,34.78125,34.78125,202600.0,20.28485870361328
2000-05-09,35.5,34.9375,35.5,35.5,99400.0,20.704042434692383
2000-05-10,36.0,35.25,36.0,36.0,192200.0,20.995649337768555
2000-05-11,36.75,35.75,36.0,36.75,1170000.0,21.433055877685547
2000-05-12,36.8125,36.3125,36.375,36.8125,262300.0,21.46950912475586
2000-05-15,36.5625,36.3125,36.4375,36.375,146500.0,21.214353561401367
2000-05-16,36.125,35.6875,35.6875,36.0625,173900.0,21.032094955444336
2000-05-17,35.5625,35.1875,35.5,35.1875,164200.0,20.52178955078125
2000-05-18,35.3125,34.75,35.1875,35.125,175800.0,20.48533821105957
2000-05-19,35.625,34.625,34.8125,35.4375,71000.0,20.66758918762207
2000-05-22,36.0,35.4375,35.625,35.75,161800.0,20.849843978881836
2000-05-23,36.0625,35.6875,35.8125,35.75,149100.0,20.849843978881836
2000-05-24,36.5,36.0625,36.0625,36.1875,221800.0,21.10500144958496
2000-05-25,36.9375,36.375,36.375,36.625,311900.0,21.360158920288086
2000-05-26,37.625,36.5,36.5,37.0625,771100.0,21.61530876159668
2000-05-30,37.25,36.8125,37.1875,37.0,159500.0,21.578861236572266
2000-05-31,37.0625,36.8125,36.875,36.875,91100.0,21.50596046447754
2000-06-01,36.9375,36.625,36.9375,36.875,83700.0,21.50596046447754
2000-06-02,37.875,37.3125,37.625,37.625,188800.0,21.94336700439453
2000-06-05,37.4375,37.125,37.375,37.375,98800.0,21.797563552856445
2000-06-06,37.625,36.875,36.875,37.125,183000.0,21.651763916015625
2000-06-07,38.5,37.4375,37.5,38.5,439300.0,22.45368194580078
2000-06-08,38.125,37.5625,38.125,37.875,92900.0,22.089168548583984
2000-06-09,37.9375,37.25,37.375,37.875,112300.0,22.089168548583984
2000-06-12,38.4375,37.8125,37.875,38.0625,311400.0,22.19852066040039
2000-06-13,38.75,38.1875,38.3125,38.6875,607200.0,22.563026428222656
2000-06-14,38.75,38.4375,38.5625,38.6875,124600.0,22.563026428222656
2000-06-15,38.5,38.0625,38.5,38.1875,225700.0,22.271421432495117
2000-06-16,38.5,38.1875,38.25,38.375,104300.0,22.380775451660156
2000-06-19,38.375,37.875,38.1875,38.375,426600.0,22.380775451660156
2000-06-20,38.25,37.9375,38.25,38.125,217500.0,22.23497772216797
2000-06-21,38.25,38.0,38.1875,38.1875,306900.0,22.271421432495117
2000-06-22,38.1875,37.625,38.1875,37.6875,233500.0,21.979820251464844
2000-06-23,38.0,37.3125,37.5,37.625,568000.0,21.94336700439453
2000-06-26,38.5,37.375,37.625,38.5,461400.0,22.45368194580078
2000-06-27,39.1875,38.25,38.375,39.1875,821200.0,22.854639053344727
2000-06-28,39.0,38.4375,38.9375,38.6875,667500.0,22.563026428222656
2000-06-29,39.4375,39.0,39.0,39.375,577000.0,22.9639892578125
2000-06-30,40.0625,39.75,39.75,40.0,806900.0,23.328495025634766
2000-07-03,39.875,39.4375,39.5,39.875,118600.0,23.255596160888672
2000-07-05,39.8125,39.4375,39.5,39.6875,201700.0,23.146238327026367
2000-07-06,40.375,40.125,40.1875,40.375,118300.0,23.547203063964844
2000-07-07,40.3125,40.0,40.1875,40.0625,121700.0,23.364948272705078
2000-07-10,40.5,40.1875,40.1875,40.375,264800.0,23.547203063964844
